"","V1","V2"
"1433G_HUMAN---AFAD_HUMAN",-26.9599864481514,7.15562368904436
"1433G_HUMAN---ANS1A_HUMAN",-26.9599864481514,7.15562368904436
"1433G_HUMAN---ARHG7_HUMAN",-10.5825489743275,-11.6465195512162
"1433G_HUMAN---BCLF1_HUMAN",-26.9599864481514,7.15562368904436
"1433G_HUMAN---CDK16_HUMAN",-27.0115913176146,5.33261756610802
"1433G_HUMAN---CLAP1_HUMAN",-26.9599864481514,7.15562368904436
"1433G_HUMAN---CRTC2_HUMAN",-26.6952701027918,-0.766377556245936
"1433G_HUMAN---DYR1A_HUMAN",-26.6952701027918,-0.766377556245936
"1433G_HUMAN---E41L2_HUMAN",-26.9599864481514,7.15562368904436
"1433G_HUMAN---EDC3_HUMAN",-27.0115913176146,5.33261756610802
"1433G_HUMAN---FA53C_HUMAN",-26.9599864481514,7.15562368904436
"1433G_HUMAN---GSK3A_HUMAN",-27.0115913176146,5.33261756610802
"1433G_HUMAN---KLC4_HUMAN",26.3624706410892,3.56337228177015
"1433G_HUMAN---LARP1_HUMAN",2.72466866069172,25.2204207200915
"1433G_HUMAN---LSR_HUMAN",-26.9599864481514,7.15562368904436
"1433G_HUMAN---MARK2_HUMAN",-26.8794799461271,2.47718775171555
"1433G_HUMAN---MFAP1_HUMAN",-26.9310848155903,0.654181628779199
"1433G_HUMAN---PANK2_HUMAN",-26.9599864481514,7.15562368904436
"1433G_HUMAN---PPIG_HUMAN",-26.9599864481514,7.15562368904436
"1433G_HUMAN---PRP4B_HUMAN",-26.9599864481514,7.15562368904436
"1433G_HUMAN---SMAG2_HUMAN",-26.9599864481514,7.15562368904436
"1433G_HUMAN---SON_HUMAN",-27.0115913176146,5.33261756610802
"1433G_HUMAN---SRRM2_HUMAN",-26.9599864481514,7.15562368904436
"1433G_HUMAN---TR150_HUMAN",-27.0115913176146,5.33261756610802
"1433G_HUMAN---TRA2A_HUMAN",-26.9599864481514,7.15562368904436
"1433G_HUMAN---UBP8_HUMAN",-26.9310848155903,0.654181628779199
"1433G_HUMAN---ZCH18_HUMAN",2.72466866069172,25.2204207200915
"1433G_HUMAN---ZN638_HUMAN",-26.9599864481514,7.15562368904436
"1433G_HUMAN---ZO2_HUMAN",-26.9599864481514,7.15562368904436
"4ET_HUMAN---ATX1_HUMAN",-26.7757766048162,3.91205838108288
"AAPK2_HUMAN-->ACACA_HUMAN",-27.0115913176146,5.33261756610802
"AAPK2_HUMAN---AMOT_HUMAN",-27.0115913176146,5.33261756610802
"AAPK2_HUMAN---C170B_HUMAN",-27.0115913176146,5.33261756610802
"AAPK2_HUMAN---KKCC1_HUMAN",25.3116844358053,7.23318125551846
"ABCA1_HUMAN---ARHGB_HUMAN",26.3624706410892,3.56337228177015
"ABCA1_HUMAN---DLG3_HUMAN",26.3624706410892,3.56337228177015
"ABCA1_HUMAN---LAP2_HUMAN",26.678791855912,-2.5356228405838
"ABCA1_HUMAN---SNTB1_HUMAN",26.3624706410892,3.56337228177015
"ABI2_HUMAN---CCD53_HUMAN",22.7586193646043,7.72188473949248
"ABI2_HUMAN---VINC_HUMAN",7.95617677650001,18.1004633143501
"ABLM1_HUMAN---T22D4_HUMAN",-26.9599864481514,7.15562368904436
"ACAP2_HUMAN---LMNB1_HUMAN",14.4276986745928,20.0957408253227
"ACINU_HUMAN---PHS_HUMAN",22.2283253776908,6.68304902761767
"ACK1_HUMAN---BCAR1_HUMAN",25.146181483689,7.88484800105461
"ACLY_HUMAN---HGS_HUMAN",-26.9310848155903,0.654181628779199
"ACTB_HUMAN---MIPT3_HUMAN",-26.9599864481514,7.15562368904436
"ACTB_HUMAN---PRSR2_HUMAN",-26.6952701027918,-0.766377556245936
"ACTB_HUMAN---SUMO2_HUMAN",26.6498902233509,3.96581921968136
"ACTB_HUMAN---SVIL_HUMAN",5.68910141381589,26.0917480073829
"ADNP_HUMAN---SUMO2_HUMAN",-26.9599864481514,7.15562368904436
"ADT1_HUMAN---B2L13_HUMAN",-26.9310848155903,0.654181628779199
"AFAD_HUMAN---DREB_HUMAN",-26.9599864481514,7.15562368904436
"AFAD_HUMAN---ZO1_HUMAN",-26.9599864481514,7.15562368904436
"AFTIN_HUMAN---GGA3_HUMAN",-27.0115913176146,5.33261756610802
"AHNK_HUMAN---SUMO2_HUMAN",-27.0115913176146,5.33261756610802
"AKA10_HUMAN---KAP2_HUMAN",26.3624706410892,3.56337228177015
"AKA11_HUMAN---KAP2_HUMAN",-26.9599864481514,7.15562368904436
"AKA12_HUMAN---EGFR_HUMAN",10.7380049399222,15.8577017291749
"AKA12_HUMAN---KAP2_HUMAN",-26.9599864481514,7.15562368904436
"AKAP1_HUMAN---KAP2_HUMAN",-26.9599864481514,7.15562368904436
"AKAP2_HUMAN---KAP2_HUMAN",-26.9599864481514,7.15562368904436
"AKT1_HUMAN-->1433Z_HUMAN",-27.0115913176146,5.33261756610802
"AKT1_HUMAN-->ATX1_HUMAN",-26.7757766048162,3.91205838108288
"AKT1_HUMAN-->HJURP_HUMAN",-27.0115913176146,5.33261756610802
"AKT1_HUMAN-->PALLD_HUMAN",-27.0115913176146,5.33261756610802
"AKT1_HUMAN-->PDCD4_HUMAN",-27.0115913176146,5.33261756610802
"AKT1_HUMAN-->RANB3_HUMAN",-27.0115913176146,5.33261756610802
"AKT1_HUMAN-->SRPK2_HUMAN",-27.0115913176146,5.33261756610802
"AKT1_HUMAN-->TBCD1_HUMAN",-26.6952701027918,-0.766377556245936
"AKT1_HUMAN-->TBCD4_HUMAN",-26.9310848155903,0.654181628779199
"AKT1_HUMAN-->WNK1_HUMAN",-27.0115913176146,5.33261756610802
"AKT1_HUMAN-->YAP1_HUMAN",-27.0115913176146,5.33261756610802
"AKT1_HUMAN-->ZYX_HUMAN",-27.0115913176146,5.33261756610802
"AMOT_HUMAN---FOXK1_HUMAN",-26.9310848155903,0.654181628779199
"AMOT_HUMAN---MPP5_HUMAN",-26.6952701027918,-0.766377556245936
"AMOT_HUMAN---RHG17_HUMAN",-26.6952701027918,-0.766377556245936
