"","V1","V2"
"1433G_HUMAN---AFAD_HUMAN",-34.5286113564593,-8.87448184000676
"1433G_HUMAN---ANS1A_HUMAN",-34.5286113564593,-8.87448184000676
"1433G_HUMAN---ARHG7_HUMAN",-16.0575916427707,14.8268073493009
"1433G_HUMAN---BCLF1_HUMAN",-34.5286113564593,-8.87448184000676
"1433G_HUMAN---CDK16_HUMAN",-34.5720361964634,-7.3128162590223
"1433G_HUMAN---CLAP1_HUMAN",-34.5286113564593,-8.87448184000676
"1433G_HUMAN---CRTC2_HUMAN",-34.2823084819525,-0.160647641690885
"1433G_HUMAN---DYR1A_HUMAN",-34.2823084819525,-0.160647641690885
"1433G_HUMAN---E41L2_HUMAN",-34.5286113564593,-8.87448184000676
"1433G_HUMAN---EDC3_HUMAN",-34.5720361964634,-7.3128162590223
"1433G_HUMAN---FA53C_HUMAN",-34.5286113564593,-8.87448184000676
"1433G_HUMAN---GSK3A_HUMAN",-34.5720361964634,-7.3128162590223
"1433G_HUMAN---KLC4_HUMAN",33.8438214796036,-4.97471568859607
"1433G_HUMAN---LARP1_HUMAN",3.55523652010802,-33.5821576340566
"1433G_HUMAN---LSR_HUMAN",-34.5286113564593,-8.87448184000676
"1433G_HUMAN---MARK2_HUMAN",-34.4757753397898,-3.02696780619016
"1433G_HUMAN---MFAP1_HUMAN",-34.5192001797939,-1.46530222520571
"1433G_HUMAN---PANK2_HUMAN",-34.5286113564593,-8.87448184000676
"1433G_HUMAN---PPIG_HUMAN",-34.5286113564593,-8.87448184000676
"1433G_HUMAN---PRP4B_HUMAN",-34.5286113564593,-8.87448184000676
"1433G_HUMAN---SMAG2_HUMAN",-34.5286113564593,-8.87448184000676
"1433G_HUMAN---SON_HUMAN",-34.5720361964634,-7.3128162590223
"1433G_HUMAN---SRRM2_HUMAN",-34.5286113564593,-8.87448184000676
"1433G_HUMAN---TR150_HUMAN",-34.5720361964634,-7.3128162590223
"1433G_HUMAN---TRA2A_HUMAN",-34.5286113564593,-8.87448184000676
"1433G_HUMAN---UBP8_HUMAN",-34.5192001797939,-1.46530222520571
"1433G_HUMAN---ZCH18_HUMAN",3.55523652010802,-33.5821576340566
"1433G_HUMAN---ZN638_HUMAN",-34.5286113564593,-8.87448184000676
"1433G_HUMAN---ZO2_HUMAN",-34.5286113564593,-8.87448184000676
"4ET_HUMAN---ATX1_HUMAN",-34.335144498622,-6.00816167550748
"AAPK2_HUMAN-->ACACA_HUMAN",-34.5720361964634,-7.3128162590223
"AAPK2_HUMAN---AMOT_HUMAN",-34.5720361964634,-7.3128162590223
"AAPK2_HUMAN---C170B_HUMAN",-34.5720361964634,-7.3128162590223
"AAPK2_HUMAN---KKCC1_HUMAN",32.6728308788452,-9.53988725289602
"ABCA1_HUMAN---ARHGB_HUMAN",33.8438214796036,-4.97471568859607
"ABCA1_HUMAN---DLG3_HUMAN",33.8438214796036,-4.97471568859607
"ABCA1_HUMAN---LAP2_HUMAN",34.1335491941145,2.17745292873534
"ABCA1_HUMAN---SNTB1_HUMAN",33.8438214796036,-4.97471568859607
"ABI2_HUMAN---CCD53_HUMAN",29.9737754641456,-9.62280226683622
"ABI2_HUMAN---VINC_HUMAN",12.3382081752559,-24.5516901024611
"ABLM1_HUMAN---T22D4_HUMAN",-34.5286113564593,-8.87448184000676
"ACAP2_HUMAN---LMNB1_HUMAN",21.0898561630526,-25.526256330141
"ACINU_HUMAN---PHS_HUMAN",29.4205761805292,-8.99573378918448
"ACK1_HUMAN---BCAR1_HUMAN",32.6290263977185,-9.26495697942832
"ACLY_HUMAN---HGS_HUMAN",-34.5192001797939,-1.46530222520571
"ACTB_HUMAN---MIPT3_HUMAN",-34.5286113564593,-8.87448184000676
"ACTB_HUMAN---PRSR2_HUMAN",-34.2823084819525,-0.160647641690885
"ACTB_HUMAN---SUMO2_HUMAN",34.1241380174491,-5.23172668606571
"ACTB_HUMAN---SVIL_HUMAN",9.95242249261244,-33.4071029575933
"ADNP_HUMAN---SUMO2_HUMAN",-34.5286113564593,-8.87448184000676
"ADT1_HUMAN---B2L13_HUMAN",-34.5192001797939,-1.46530222520571
"AFAD_HUMAN---DREB_HUMAN",-34.5286113564593,-8.87448184000676
"AFAD_HUMAN---ZO1_HUMAN",-34.5286113564593,-8.87448184000676
"AFTIN_HUMAN---GGA3_HUMAN",-34.5720361964634,-7.3128162590223
"AHNK_HUMAN---SUMO2_HUMAN",-34.5720361964634,-7.3128162590223
"AKA10_HUMAN---KAP2_HUMAN",33.8438214796036,-4.97471568859607
"AKA11_HUMAN---KAP2_HUMAN",-34.5286113564593,-8.87448184000676
"AKA12_HUMAN---EGFR_HUMAN",11.997954036687,-21.644071889356
"AKA12_HUMAN---KAP2_HUMAN",-34.5286113564593,-8.87448184000676
"AKAP1_HUMAN---KAP2_HUMAN",-34.5286113564593,-8.87448184000676
"AKAP2_HUMAN---KAP2_HUMAN",-34.5286113564593,-8.87448184000676
"AKT1_HUMAN-->1433Z_HUMAN",-34.5720361964634,-7.3128162590223
"AKT1_HUMAN-->ATX1_HUMAN",-34.335144498622,-6.00816167550748
"AKT1_HUMAN-->HJURP_HUMAN",-34.5720361964634,-7.3128162590223
"AKT1_HUMAN-->PALLD_HUMAN",-34.5720361964634,-7.3128162590223
"AKT1_HUMAN-->PDCD4_HUMAN",-34.5720361964634,-7.3128162590223
"AKT1_HUMAN-->RANB3_HUMAN",-34.5720361964634,-7.3128162590223
"AKT1_HUMAN-->SRPK2_HUMAN",-34.5720361964634,-7.3128162590223
"AKT1_HUMAN-->TBCD1_HUMAN",-34.2823084819525,-0.160647641690885
"AKT1_HUMAN-->TBCD4_HUMAN",-34.5192001797939,-1.46530222520571
"AKT1_HUMAN-->WNK1_HUMAN",-34.5720361964634,-7.3128162590223
"AKT1_HUMAN-->YAP1_HUMAN",-34.5720361964634,-7.3128162590223
"AKT1_HUMAN-->ZYX_HUMAN",-34.5720361964634,-7.3128162590223
"AMOT_HUMAN---FOXK1_HUMAN",-34.5192001797939,-1.46530222520571
"AMOT_HUMAN---MPP5_HUMAN",-34.2823084819525,-0.160647641690885
"AMOT_HUMAN---RHG17_HUMAN",-34.2823084819525,-0.160647641690885
"ANXA2_HUMAN---TRM7_HUMAN",-34.5192001797939,-1.46530222520571
"AP3D1_HUMAN---HTSF1_HUMAN",31.4580357969602,-13.8301285437283
"AR6P4_HUMAN---ARL6_HUMAN",-34.5286113564593,-8.87448184000676
"AR6P4_HUMAN---SRPK2_HUMAN",-34.5720361964634,-7.3128162590223
"AR6P6_HUMAN---ARL6_HUMAN",-34.5286113564593,-8.87448184000676
"ARHG5_HUMAN---CRKL_HUMAN",-34.5286113564593,-8.87448184000676
"ARHG7_HUMAN---GIT1_HUMAN",-34.5720361964634,-7.3128162590223
"ARHG7_HUMAN---SCRIB_HUMAN",-34.5286113564593,-8.87448184000676
"ARIP4_HUMAN---SUMO2_HUMAN",-34.2823084819525,-0.160647641690885
"ARP8_HUMAN---TFPT_HUMAN",-34.5192001797939,-1.46530222520571
"AT133_HUMAN---MD2L1_HUMAN",-34.2823084819525,-0.160647641690885
"AT1A1_HUMAN---MK01_HUMAN",3.55523652010802,-33.5821576340566
"AT2B1_HUMAN---CSK21_HUMAN",-34.5286113564593,-8.87448184000676
"ATM_HUMAN-->DYRK2_HUMAN",32.6728308788452,-9.53988725289602
"ATM_HUMAN-->FACD2_HUMAN",-34.5720361964634,-7.3128162590223
"ATM_HUMAN-->HUWE1_HUMAN",-34.5720361964634,-7.3128162590223
"ATM_HUMAN-->MED1_HUMAN",34.080713177445,-3.67006110508125
"ATM_HUMAN-->SMC3_HUMAN",-34.5720361964634,-7.3128162590223
"ATM_HUMAN-->TAOK1_HUMAN",-34.5720361964634,-7.3128162590223
"ATM_HUMAN-->TOPB1_HUMAN",-34.5192001797939,-1.46530222520571
"ATM_HUMAN-->TP53B_HUMAN",-27.3818116135291,-14.0398806726761
"ATM_HUMAN-->ZN148_HUMAN",-34.5720361964634,-7.3128162590223
"ATRX_HUMAN---EZH2_HUMAN",34.1335491941145,2.17745292873534
"ATX1_HUMAN---BACH_HUMAN",-34.335144498622,-6.00816167550748
"ATX1_HUMAN---CCNK_HUMAN",-34.335144498622,-6.00816167550748
"ATX1_HUMAN---CLASR_HUMAN",-34.2823084819525,-0.160647641690885
"ATX1_HUMAN---CPSF7_HUMAN",-34.335144498622,-6.00816167550748
"ATX1_HUMAN---PUM1_HUMAN",-34.335144498622,-6.00816167550748
"ATX1_HUMAN---UNK_HUMAN",-34.335144498622,-6.00816167550748
"ATX1_HUMAN---ZN609_HUMAN",3.51181168010391,-32.0204920530721
"ATX2L_HUMAN---SUMO2_HUMAN",-34.5286113564593,-8.87448184000676
"AURKB_HUMAN-->CCD86_HUMAN",-34.5192001797939,-1.46530222520571
"AURKB_HUMAN-->DDA1_HUMAN",21.1426921797222,-19.6787422963244
"AURKB_HUMAN-->KI67_HUMAN",-34.5192001797939,-1.46530222520571
"AURKB_HUMAN-->LMO7_HUMAN",-34.5192001797939,-1.46530222520571
"AURKB_HUMAN-->MBB1A_HUMAN",-34.5192001797939,-1.46530222520571
"AURKB_HUMAN-->NELFE_HUMAN",-34.5192001797939,-1.46530222520571
