,tps_egfr-omicsintegrator1-params-ZIDAQ22,tps_egfr-omicsintegrator1-params-CIOEEVD,tps_egfr-omicsintegrator1-params-IRD64CQ,tps_egfr-omicsintegrator1-params-E3B3TQB,tps_egfr-omicsintegrator1-params-NEAWERR
1433G_HUMAN---3BP5L_HUMAN,1,1,1,1,0
1433G_HUMAN---AFAD_HUMAN,1,1,1,1,1
1433G_HUMAN---ANS1A_HUMAN,1,1,1,1,1
1433G_HUMAN---ARHG7_HUMAN,1,1,1,1,0
1433G_HUMAN---BCLF1_HUMAN,1,1,1,1,1
1433G_HUMAN---CDK16_HUMAN,1,1,1,1,0
1433G_HUMAN---CLAP1_HUMAN,1,1,1,1,1
1433G_HUMAN---CRTC2_HUMAN,1,1,1,1,0
1433G_HUMAN---DYR1A_HUMAN,1,1,1,1,0
1433G_HUMAN---E41L2_HUMAN,1,1,1,1,1
1433G_HUMAN---EDC3_HUMAN,1,1,1,1,0
1433G_HUMAN---FA53C_HUMAN,1,1,1,1,1
1433G_HUMAN---GSK3A_HUMAN,1,1,1,1,0
1433G_HUMAN---HDAC4_HUMAN,1,0,1,1,0
1433G_HUMAN---LSR_HUMAN,1,1,1,1,1
1433G_HUMAN---MARK2_HUMAN,1,1,1,1,1
1433G_HUMAN---MFAP1_HUMAN,1,1,1,1,0
1433G_HUMAN---PANK2_HUMAN,1,1,1,1,1
1433G_HUMAN---PPIG_HUMAN,1,1,1,1,1
1433G_HUMAN---PRP4B_HUMAN,1,1,1,1,1
1433G_HUMAN---SMAG2_HUMAN,1,1,1,1,1
1433G_HUMAN---SON_HUMAN,1,1,1,1,0
1433G_HUMAN---SRPK1_HUMAN,1,0,1,1,0
1433G_HUMAN---SRRM2_HUMAN,1,1,1,1,1
1433G_HUMAN---TR150_HUMAN,1,1,1,1,0
1433G_HUMAN---TRA2A_HUMAN,1,1,1,1,1
1433G_HUMAN---UBP8_HUMAN,1,1,1,1,0
1433G_HUMAN---ZN638_HUMAN,1,1,1,1,1
1433G_HUMAN---ZO2_HUMAN,1,1,1,1,1
3BP5L_HUMAN---EYA4_HUMAN,1,1,1,1,0
4ET_HUMAN---ATX1_HUMAN,1,1,1,1,0
A8K015_HUMAN---STAT3_HUMAN,1,1,1,1,0
A8K015_HUMAN---TMX1_HUMAN,1,1,1,1,0
AAGAB_HUMAN---EIF3C_HUMAN,1,1,1,1,0
AAPK2_HUMAN-->ACACA_HUMAN,1,1,1,1,0
AAPK2_HUMAN---AMOT_HUMAN,1,1,1,1,0
AAPK2_HUMAN---C170B_HUMAN,1,1,1,1,0
ABI2_HUMAN---CCD53_HUMAN,1,0,0,0,1
ABLM1_HUMAN---T22D4_HUMAN,1,1,1,1,1
ACAP2_HUMAN---CBX1_HUMAN,1,0,1,1,0
ACK1_HUMAN---CDC42_HUMAN,1,0,1,1,0
ACLY_HUMAN---HGS_HUMAN,1,1,1,1,0
ACTB_HUMAN---KHDR1_HUMAN,1,1,1,1,0
ACTB_HUMAN---MIPT3_HUMAN,1,1,1,1,1
ACTB_HUMAN---PRSR2_HUMAN,1,1,1,1,0
ADCY6_HUMAN---ATX1_HUMAN,1,0,1,1,0
ADNP_HUMAN---SUMO2_HUMAN,1,1,1,1,1
ADT1_HUMAN---B2L13_HUMAN,1,1,1,1,0
AFAD_HUMAN---DREB_HUMAN,1,1,1,1,1
AFAD_HUMAN---ZO1_HUMAN,1,1,1,1,1
AFTIN_HUMAN---GGA3_HUMAN,1,1,1,1,0
AHNK_HUMAN---SUMO2_HUMAN,1,1,1,1,0
AKA10_HUMAN---MYH9_HUMAN,1,0,1,1,0
AKA11_HUMAN---KAP2_HUMAN,1,1,1,1,1
AKA12_HUMAN---KAP2_HUMAN,1,1,1,1,1
AKAP1_HUMAN---KAP2_HUMAN,1,1,1,1,1
AKAP2_HUMAN---KAP2_HUMAN,1,1,1,1,1
AKT1_HUMAN-->1433Z_HUMAN,1,1,1,1,0
AKT1_HUMAN-->ATX1_HUMAN,1,1,1,1,0
AKT1_HUMAN-->CDK2_HUMAN,1,0,0,1,0
AKT1_HUMAN-->HJURP_HUMAN,1,1,1,1,0
