"","V1","V2"
"1433G_HUMAN---3BP5L_HUMAN",-32.9894459779595,-0.940731403931433
"1433G_HUMAN---AFAD_HUMAN",-25.0177201797483,21.6840962446373
"1433G_HUMAN---ANS1A_HUMAN",-25.0177201797483,21.6840962446373
"1433G_HUMAN---ARHG7_HUMAN",-32.9894459779595,-0.940731403931433
"1433G_HUMAN---BCLF1_HUMAN",-25.0177201797483,21.6840962446373
"1433G_HUMAN---CDK16_HUMAN",-32.9894459779595,-0.940731403931433
"1433G_HUMAN---CLAP1_HUMAN",-25.0177201797483,21.6840962446373
"1433G_HUMAN---CRTC2_HUMAN",-32.9894459779595,-0.940731403931433
"1433G_HUMAN---DYR1A_HUMAN",-32.9894459779595,-0.940731403931433
"1433G_HUMAN---E41L2_HUMAN",-25.0177201797483,21.6840962446373
"1433G_HUMAN---EDC3_HUMAN",-32.9894459779595,-0.940731403931433
"1433G_HUMAN---FA53C_HUMAN",-25.0177201797483,21.6840962446373
"1433G_HUMAN---GSK3A_HUMAN",-32.9894459779595,-0.940731403931433
"1433G_HUMAN---HDAC4_HUMAN",-25.7771533798151,-22.5595800482868
"1433G_HUMAN---LSR_HUMAN",-25.0177201797483,21.6840962446373
"1433G_HUMAN---MARK2_HUMAN",-25.0177201797483,21.6840962446373
"1433G_HUMAN---MFAP1_HUMAN",-32.9894459779595,-0.940731403931433
"1433G_HUMAN---PANK2_HUMAN",-25.0177201797483,21.6840962446373
"1433G_HUMAN---PPIG_HUMAN",-25.0177201797483,21.6840962446373
"1433G_HUMAN---PRP4B_HUMAN",-25.0177201797483,21.6840962446373
"1433G_HUMAN---SMAG2_HUMAN",-25.0177201797483,21.6840962446373
"1433G_HUMAN---SON_HUMAN",-32.9894459779595,-0.940731403931433
"1433G_HUMAN---SRPK1_HUMAN",-25.7771533798151,-22.5595800482868
"1433G_HUMAN---SRRM2_HUMAN",-25.0177201797483,21.6840962446373
"1433G_HUMAN---TR150_HUMAN",-32.9894459779595,-0.940731403931433
"1433G_HUMAN---TRA2A_HUMAN",-25.0177201797483,21.6840962446373
"1433G_HUMAN---UBP8_HUMAN",-32.9894459779595,-0.940731403931433
"1433G_HUMAN---ZN638_HUMAN",-25.0177201797483,21.6840962446373
"1433G_HUMAN---ZO2_HUMAN",-25.0177201797483,21.6840962446373
"3BP5L_HUMAN---EYA4_HUMAN",-32.9894459779595,-0.940731403931433
"4ET_HUMAN---ATX1_HUMAN",-32.9894459779595,-0.940731403931433
"A8K015_HUMAN---STAT3_HUMAN",-32.9894459779595,-0.940731403931433
"A8K015_HUMAN---TMX1_HUMAN",-32.9894459779595,-0.940731403931433
"AAGAB_HUMAN---EIF3C_HUMAN",-32.9894459779595,-0.940731403931433
"AAPK2_HUMAN-->ACACA_HUMAN",-32.9894459779595,-0.940731403931433
"AAPK2_HUMAN---AMOT_HUMAN",-32.9894459779595,-0.940731403931433
"AAPK2_HUMAN---C170B_HUMAN",-32.9894459779595,-0.940731403931433
"ABI2_HUMAN---CCD53_HUMAN",12.5641783609418,-8.89287725218353
"ABLM1_HUMAN---T22D4_HUMAN",-25.0177201797483,21.6840962446373
"ACAP2_HUMAN---CBX1_HUMAN",-25.7771533798151,-22.5595800482868
"ACK1_HUMAN---CDC42_HUMAN",-25.7771533798151,-22.5595800482868
"ACLY_HUMAN---HGS_HUMAN",-32.9894459779595,-0.940731403931433
"ACTB_HUMAN---KHDR1_HUMAN",-32.9894459779595,-0.940731403931433
"ACTB_HUMAN---MIPT3_HUMAN",-25.0177201797483,21.6840962446373
"ACTB_HUMAN---PRSR2_HUMAN",-32.9894459779595,-0.940731403931433
"ADCY6_HUMAN---ATX1_HUMAN",-25.7771533798151,-22.5595800482868
"ADNP_HUMAN---SUMO2_HUMAN",-25.0177201797483,21.6840962446373
"ADT1_HUMAN---B2L13_HUMAN",-32.9894459779595,-0.940731403931433
"AFAD_HUMAN---DREB_HUMAN",-25.0177201797483,21.6840962446373
"AFAD_HUMAN---ZO1_HUMAN",-25.0177201797483,21.6840962446373
"AFTIN_HUMAN---GGA3_HUMAN",-32.9894459779595,-0.940731403931433
"AHNK_HUMAN---SUMO2_HUMAN",-32.9894459779595,-0.940731403931433
"AKA10_HUMAN---MYH9_HUMAN",-25.7771533798151,-22.5595800482868
"AKA11_HUMAN---KAP2_HUMAN",-25.0177201797483,21.6840962446373
"AKA12_HUMAN---KAP2_HUMAN",-25.0177201797483,21.6840962446373
"AKAP1_HUMAN---KAP2_HUMAN",-25.0177201797483,21.6840962446373
"AKAP2_HUMAN---KAP2_HUMAN",-25.0177201797483,21.6840962446373
"AKT1_HUMAN-->1433Z_HUMAN",-32.9894459779595,-0.940731403931433
"AKT1_HUMAN-->ATX1_HUMAN",-32.9894459779595,-0.940731403931433
"AKT1_HUMAN-->CDK2_HUMAN",-1.56803627160303,-31.7326967850106
"AKT1_HUMAN-->HJURP_HUMAN",-32.9894459779595,-0.940731403931433
"AKT1_HUMAN-->PALLD_HUMAN",-32.9894459779595,-0.940731403931433
"AKT1_HUMAN-->PDCD4_HUMAN",-32.9894459779595,-0.940731403931433
"AKT1_HUMAN-->RANB3_HUMAN",-32.9894459779595,-0.940731403931433
"AKT1_HUMAN-->SRPK2_HUMAN",-32.9894459779595,-0.940731403931433
