"","V1","V2"
"EGF_HUMAN-->EGFR_HUMAN",-84.4022190820309,37.7271398605073
"EGF_HUMAN-->S10A4_HUMAN",-84.4022190820309,37.7271398605073
"S10A4_HUMAN-->MYH9_HUMAN",-84.4022190820309,37.7271398605073
"K7PPA8_HUMAN-->MDM2_HUMAN",-84.4022190820309,37.7271398605073
"MDM2_HUMAN-->P53_HUMAN",-84.4022190820309,37.7271398605073
"S10A4_HUMAN-->K7PPA8_HUMAN",-84.4022190820309,37.7271398605073
"K7PPA8_HUMAN-->SIR1_HUMAN",-84.4022190820309,37.7271398605073
"MDM2_HUMAN-->MDM4_HUMAN",-84.4022190820309,37.7271398605073
"MDM4_HUMAN-->P53_HUMAN",-84.4022190820309,37.7271398605073
"CD2A2_HUMAN-->CDK4_HUMAN",-84.4022190820309,37.7271398605073
"CDK4_HUMAN-->RB_HUMAN",-84.4022190820309,37.7271398605073
"MDM2_HUMAN-->CD2A2_HUMAN",-84.4022190820309,37.7271398605073
"EP300_HUMAN-->P53_HUMAN",-84.4022190820309,37.7271398605073
"K7PPA8_HUMAN-->EP300_HUMAN",-84.4022190820309,37.7271398605073
"K7PPA8_HUMAN-->UBP7_HUMAN",-84.4022190820309,37.7271398605073
"UBP7_HUMAN-->P53_HUMAN",-84.4022190820309,37.7271398605073
"K7PPA8_HUMAN-->MDM4_HUMAN",-84.4022190820309,37.7271398605073
"MDM4_HUMAN-->MDM2_HUMAN",-84.4022190820309,37.7271398605073
"MDM2_HUMAN-->RB_HUMAN",-83.5364977052857,28.7609975006595
"UBP7_HUMAN-->MDM2_HUMAN",-83.5364977052857,28.7609975006595
"MDM2_HUMAN-->UB2D2_HUMAN",-83.5364977052857,28.7609975006595
"UB2D2_HUMAN-->CHIP_HUMAN",-83.5364977052857,28.7609975006595
"MDM2_HUMAN-->UBP7_HUMAN",-83.5364977052857,28.7609975006595
"UB2D2_HUMAN-->CBL_HUMAN",-83.5364977052857,28.7609975006595
"CCND1_HUMAN-->RB_HUMAN",-83.5364977052857,28.7609975006595
"CDK4_HUMAN-->CCND1_HUMAN",-83.5364977052857,28.7609975006595
"MDM2_HUMAN-->SUMO1_HUMAN",-83.5364977052857,28.7609975006595
"SUMO1_HUMAN-->P53_HUMAN",-83.5364977052857,28.7609975006595
"EP300_HUMAN-->SP1_HUMAN",-83.5364977052857,28.7609975006595
"SP1_HUMAN-->HDAC1_HUMAN",-83.5364977052857,28.7609975006595
"EP300_HUMAN-->G4XH65_HUMAN",-83.5364977052857,28.7609975006595
