"","V1","V2","V3","V4"
"EGF_HUMAN-->EGFR_HUMAN",-82.2059762028365,36.4737990999638,27.4495026183541,17.2546227695628
"EGF_HUMAN-->S10A4_HUMAN",-82.2059762028365,36.4737990999638,27.4495026183541,17.2546227695628
"S10A4_HUMAN-->MYH9_HUMAN",-82.2059762028365,36.4737990999638,27.4495026183541,17.2546227695628
"K7PPA8_HUMAN-->MDM2_HUMAN",-82.2059762028365,36.4737990999638,27.4495026183541,17.2546227695628
"MDM2_HUMAN-->P53_HUMAN",-82.2059762028365,36.4737990999638,27.4495026183541,17.2546227695628
"S10A4_HUMAN-->K7PPA8_HUMAN",-82.2059762028365,36.4737990999638,27.4495026183541,17.2546227695628
"K7PPA8_HUMAN-->SIR1_HUMAN",-82.2059762028365,36.4737990999638,27.4495026183541,17.2546227695628
"MDM2_HUMAN-->MDM4_HUMAN",-82.2059762028365,36.4737990999638,27.4495026183541,17.2546227695628
"MDM4_HUMAN-->P53_HUMAN",-82.2059762028365,36.4737990999638,27.4495026183541,17.2546227695628
"CD2A2_HUMAN-->CDK4_HUMAN",-82.2059762028365,36.4737990999638,27.4495026183541,17.2546227695628
"CDK4_HUMAN-->RB_HUMAN",-82.2059762028365,36.4737990999638,27.4495026183541,17.2546227695628
"MDM2_HUMAN-->CD2A2_HUMAN",-82.2059762028365,36.4737990999638,27.4495026183541,17.2546227695628
"EP300_HUMAN-->P53_HUMAN",-82.2059762028365,36.4737990999638,27.4495026183541,17.2546227695628
"K7PPA8_HUMAN-->EP300_HUMAN",-82.2059762028365,36.4737990999638,27.4495026183541,17.2546227695628
"K7PPA8_HUMAN-->UBP7_HUMAN",-82.2059762028365,36.4737990999638,27.4495026183541,17.2546227695628
"UBP7_HUMAN-->P53_HUMAN",-82.2059762028365,36.4737990999638,27.4495026183541,17.2546227695628
"K7PPA8_HUMAN-->MDM4_HUMAN",-82.2059762028365,36.4737990999638,27.4495026183541,17.2546227695628
"MDM4_HUMAN-->MDM2_HUMAN",-82.2059762028365,36.4737990999638,27.4495026183541,17.2546227695628
"MDM2_HUMAN-->RB_HUMAN",-83.929238948373,29.5438362511957,21.3003793088051,5.20684302187057
"UBP7_HUMAN-->MDM2_HUMAN",-83.929238948373,29.5438362511957,21.3003793088051,5.20684302187057
"MDM2_HUMAN-->UB2D2_HUMAN",-83.929238948373,29.5438362511957,21.3003793088051,5.20684302187057
"UB2D2_HUMAN-->CHIP_HUMAN",-83.929238948373,29.5438362511957,21.3003793088051,5.20684302187057
"MDM2_HUMAN-->UBP7_HUMAN",-83.929238948373,29.5438362511957,21.3003793088051,5.20684302187057
"UB2D2_HUMAN-->CBL_HUMAN",-83.929238948373,29.5438362511957,21.3003793088051,5.20684302187057
"CCND1_HUMAN-->RB_HUMAN",-83.929238948373,29.5438362511957,21.3003793088051,5.20684302187057
"CDK4_HUMAN-->CCND1_HUMAN",-83.929238948373,29.5438362511957,21.3003793088051,5.20684302187057
