"","V1","V2","V3","V4","V5"
"EGF_HUMAN-->EGFR_HUMAN",-82.9403129775988,35.795889896172,-28.1577198370429,14.371853188548,-15.4358058574986
"EGF_HUMAN-->S10A4_HUMAN",-82.9403129775988,35.795889896172,-28.1577198370429,14.371853188548,-15.4358058574986
"S10A4_HUMAN-->MYH9_HUMAN",-82.9403129775988,35.795889896172,-28.1577198370429,14.371853188548,-15.4358058574986
"K7PPA8_HUMAN-->MDM2_HUMAN",-82.9403129775988,35.795889896172,-28.1577198370429,14.371853188548,-15.4358058574986
"MDM2_HUMAN-->P53_HUMAN",-82.9403129775988,35.795889896172,-28.1577198370429,14.371853188548,-15.4358058574986
"S10A4_HUMAN-->K7PPA8_HUMAN",-82.9403129775988,35.795889896172,-28.1577198370429,14.371853188548,-15.4358058574986
"K7PPA8_HUMAN-->SIR1_HUMAN",-82.9403129775988,35.795889896172,-28.1577198370429,14.371853188548,-15.4358058574986
"MDM2_HUMAN-->MDM4_HUMAN",-82.9403129775988,35.795889896172,-28.1577198370429,14.371853188548,-15.4358058574986
"MDM4_HUMAN-->P53_HUMAN",-82.9403129775988,35.795889896172,-28.1577198370429,14.371853188548,-15.4358058574986
"CD2A2_HUMAN-->CDK4_HUMAN",-82.9403129775988,35.795889896172,-28.1577198370429,14.371853188548,-15.4358058574986
"CDK4_HUMAN-->RB_HUMAN",-82.9403129775988,35.795889896172,-28.1577198370429,14.371853188548,-15.4358058574986
"MDM2_HUMAN-->CD2A2_HUMAN",-82.9403129775988,35.795889896172,-28.1577198370429,14.371853188548,-15.4358058574986
"EP300_HUMAN-->P53_HUMAN",-82.9403129775988,35.795889896172,-28.1577198370429,14.371853188548,-15.4358058574986
"K7PPA8_HUMAN-->EP300_HUMAN",-82.9403129775988,35.795889896172,-28.1577198370429,14.371853188548,-15.4358058574986
"K7PPA8_HUMAN-->UBP7_HUMAN",-82.9403129775988,35.795889896172,-28.1577198370429,14.371853188548,-15.4358058574986
"UBP7_HUMAN-->P53_HUMAN",-82.9403129775988,35.795889896172,-28.1577198370429,14.371853188548,-15.4358058574986
"K7PPA8_HUMAN-->MDM4_HUMAN",-82.9403129775988,35.795889896172,-28.1577198370429,14.371853188548,-15.4358058574986
