,tps_egfr-pathlinker-params-J4MLQZ3,tps_egfr-pathlinker-params-7S4SLU6,tps_egfr-pathlinker-params-2BKNM7T,tps_egfr-pathlinker-params-JCJI3OZ,tps_egfr-pathlinker-params-GSFPBXW
EGF_HUMAN-->EGFR_HUMAN,1,1,1,1,1
EGF_HUMAN-->S10A4_HUMAN,1,1,1,1,1
S10A4_HUMAN-->MYH9_HUMAN,1,1,1,1,1
K7PPA8_HUMAN-->MDM2_HUMAN,1,1,1,1,1
MDM2_HUMAN-->P53_HUMAN,1,1,1,1,1
S10A4_HUMAN-->K7PPA8_HUMAN,1,1,1,1,1
K7PPA8_HUMAN-->SIR1_HUMAN,1,1,1,1,1
MDM2_HUMAN-->MDM4_HUMAN,1,1,1,1,1
MDM4_HUMAN-->P53_HUMAN,1,1,1,1,1
CD2A2_HUMAN-->CDK4_HUMAN,1,1,1,1,1
CDK4_HUMAN-->RB_HUMAN,1,1,1,1,1
MDM2_HUMAN-->CD2A2_HUMAN,1,1,1,1,1
EP300_HUMAN-->P53_HUMAN,1,1,1,1,1
K7PPA8_HUMAN-->EP300_HUMAN,1,1,1,1,1
K7PPA8_HUMAN-->UBP7_HUMAN,1,1,1,1,1
UBP7_HUMAN-->P53_HUMAN,1,1,1,1,1
K7PPA8_HUMAN-->MDM4_HUMAN,1,1,1,1,1
MDM4_HUMAN-->MDM2_HUMAN,1,1,1,1,1
MDM2_HUMAN-->RB_HUMAN,1,0,1,1,1
UBP7_HUMAN-->MDM2_HUMAN,1,0,1,1,1
MDM2_HUMAN-->UB2D2_HUMAN,1,0,1,1,1
UB2D2_HUMAN-->CHIP_HUMAN,1,0,1,1,1
MDM2_HUMAN-->UBP7_HUMAN,1,0,1,1,1
UB2D2_HUMAN-->CBL_HUMAN,1,0,1,1,1
CCND1_HUMAN-->RB_HUMAN,1,0,1,1,1
CDK4_HUMAN-->CCND1_HUMAN,1,0,1,1,1
MDM2_HUMAN-->SUMO1_HUMAN,1,0,1,1,1
SUMO1_HUMAN-->P53_HUMAN,1,0,1,1,1
EP300_HUMAN-->SP1_HUMAN,1,0,1,1,1
SP1_HUMAN-->HDAC1_HUMAN,1,0,1,1,1
EP300_HUMAN-->G4XH65_HUMAN,1,0,1,1,1
G4XH65_HUMAN-->SRC_HUMAN,1,0,1,1,1
SRC_HUMAN-->FAK1_HUMAN,1,0,1,1,1
SRC_HUMAN-->HNRPK_HUMAN,1,0,1,1,1
S10A4_HUMAN-->MDM2_HUMAN,1,0,1,1,1
S10A4_HUMAN-->P53_HUMAN,1,0,1,1,1
EP300_HUMAN-->JUN_HUMAN,1,0,1,1,1
EP300_HUMAN-->HIF1A_HUMAN,1,0,1,1,1
HIF1A_HUMAN-->HS90A_HUMAN,1,0,1,1,1
BRCA1_HUMAN-->BARD1_HUMAN,1,0,1,1,1
G4XH65_HUMAN-->BRCA1_HUMAN,1,0,1,1,1
SRC_HUMAN-->SHC1_HUMAN,1,0,1,1,1
G4XH65_HUMAN-->HS90A_HUMAN,1,0,1,0,1
SRC_HUMAN-->KHDR1_HUMAN,1,0,1,0,1
SUMO1_HUMAN-->PIAS1_HUMAN,1,0,1,0,1
A4D1G0_HUMAN-->RB_HUMAN,1,0,1,0,1
CD2A2_HUMAN-->A4D1G0_HUMAN,1,0,1,0,1
K7PPA8_HUMAN-->SP1_HUMAN,1,0,1,0,1
G4XH65_HUMAN-->SP1_HUMAN,1,0,1,0,1
SP1_HUMAN-->P53_HUMAN,1,0,1,0,1
B2CL1_HUMAN-->BAD_HUMAN,1,0,1,0,1
K7PPA8_HUMAN-->B2CL1_HUMAN,1,0,1,0,1
CDK4_HUMAN-->CDN1A_HUMAN,1,0,1,0,1
CDN1A_HUMAN-->CCND1_HUMAN,1,0,1,0,1
CDN1A_HUMAN-->PCNA_HUMAN,1,0,1,0,1
PCNA_HUMAN-->DNMT1_HUMAN,1,0,1,0,1
CCND1_HUMAN-->CDN1A_HUMAN,1,0,1,0,1
SP1_HUMAN-->HDAC2_HUMAN,1,0,1,0,1
G4XH65_HUMAN-->HDAC1_HUMAN,1,0,1,0,1
A4D1G0_HUMAN-->CCND1_HUMAN,1,0,1,0,0
CCND1_HUMAN-->CDK4_HUMAN,1,0,1,0,0
PCNA_HUMAN-->RFC1_HUMAN,1,0,1,0,0
SUMO1_HUMAN-->UBC9_HUMAN,1,0,1,0,0
UBC9_HUMAN-->RBP2_HUMAN,1,0,1,0,0
UB2D2_HUMAN-->ZN363_HUMAN,1,0,1,0,0
ZN363_HUMAN-->P53_HUMAN,1,0,1,0,0
UBC9_HUMAN-->P53_HUMAN,1,0,1,0,0
CDK4_HUMAN-->CDN1B_HUMAN,1,0,1,0,0
CDN1B_HUMAN-->CCND1_HUMAN,1,0,1,0,0
CD2A2_HUMAN-->NPM_HUMAN,1,0,1,0,0
SRC_HUMAN-->EGFR_HUMAN,1,0,1,0,0
SRC_HUMAN-->GAB1_HUMAN,1,0,1,0,0
EP300_HUMAN-->H31_HUMAN,1,0,1,0,0
H31_HUMAN-->CAF1B_HUMAN,1,0,1,0,0
CCNE1_HUMAN-->RB_HUMAN,1,0,1,0,0
CDN1B_HUMAN-->CCNE1_HUMAN,1,0,1,0,0
BRCA1_HUMAN-->P53_HUMAN,1,0,1,0,0
HIF1A_HUMAN-->HSP74_HUMAN,1,0,1,0,0
HSP74_HUMAN-->CHIP_HUMAN,1,0,1,0,0
A4D1G0_HUMAN-->CCND3_HUMAN,1,0,1,0,0
CCND3_HUMAN-->CDK4_HUMAN,1,0,1,0,0
SP1_HUMAN-->G4XH65_HUMAN,1,0,0,0,0
CDC37_HUMAN-->HS90A_HUMAN,1,0,0,0,0
CDK4_HUMAN-->CDC37_HUMAN,1,0,0,0,0
SP1_HUMAN-->EP300_HUMAN,1,0,0,0,0
MDM2_HUMAN-->K7PPA8_HUMAN,1,0,0,0,0
UBP7_HUMAN-->DNMT1_HUMAN,1,0,0,0,0
CCND1_HUMAN-->A4D1G0_HUMAN,1,0,0,0,0
CD2A2_HUMAN-->P53_HUMAN,1,0,0,0,0
B0LPE5_HUMAN-->GSK3A_HUMAN,1,0,0,0,0
MDM2_HUMAN-->B0LPE5_HUMAN,1,0,0,0,0
A2RUM7_HUMAN-->N0E4C7_HUMAN,1,0,0,0,0
CSK21_HUMAN-->XRCC1_HUMAN,1,0,0,0,0
MDM2_HUMAN-->A2RUM7_HUMAN,1,0,0,0,0
N0E4C7_HUMAN-->CSK21_HUMAN,1,0,0,0,0
CDN1A_HUMAN-->CCNE1_HUMAN,1,0,0,0,0
RAGP1_HUMAN-->UBC9_HUMAN,1,0,0,0,0
SUMO1_HUMAN-->RAGP1_HUMAN,1,0,0,0,0
CUL1_HUMAN-->NEDD8_HUMAN,1,0,0,0,0
NEDD8_HUMAN-->P53_HUMAN,1,0,0,0,0
RBX1_HUMAN-->CUL1_HUMAN,1,0,0,0,0
UB2D2_HUMAN-->RBX1_HUMAN,1,0,0,0,0
CCNE1_HUMAN-->CDN1A_HUMAN,1,0,0,0,0
