"","V1","V2"
"EGF_HUMAN-->EGFR_HUMAN",-38.6008613396449,0.919276985125856
"EGF_HUMAN-->S10A4_HUMAN",-38.6008613396449,0.919276985125856
"S10A4_HUMAN-->MYH9_HUMAN",-38.6008613396449,0.919276985125856
"K7PPA8_HUMAN-->MDM2_HUMAN",-38.6008613396449,0.919276985125856
"MDM2_HUMAN-->P53_HUMAN",-38.6008613396449,0.919276985125856
"S10A4_HUMAN-->K7PPA8_HUMAN",-38.6008613396449,0.919276985125856
"K7PPA8_HUMAN-->SIR1_HUMAN",-38.6008613396449,0.919276985125856
"MDM2_HUMAN-->MDM4_HUMAN",-38.6008613396449,0.919276985125856
"MDM4_HUMAN-->P53_HUMAN",-38.6008613396449,0.919276985125856
"CD2A2_HUMAN-->CDK4_HUMAN",-38.6008613396449,0.919276985125856
"CDK4_HUMAN-->RB_HUMAN",-38.6008613396449,0.919276985125856
"MDM2_HUMAN-->CD2A2_HUMAN",-38.6008613396449,0.919276985125856
"EP300_HUMAN-->P53_HUMAN",-38.6008613396449,0.919276985125856
"K7PPA8_HUMAN-->EP300_HUMAN",-38.6008613396449,0.919276985125856
"K7PPA8_HUMAN-->UBP7_HUMAN",-38.6008613396449,0.919276985125856
"UBP7_HUMAN-->P53_HUMAN",-38.6008613396449,0.919276985125856
"K7PPA8_HUMAN-->MDM4_HUMAN",-38.6008613396449,0.919276985125856
"MDM4_HUMAN-->MDM2_HUMAN",-38.6008613396449,0.919276985125856
"MDM2_HUMAN-->RB_HUMAN",-25.6396801837614,-23.4938215314461
"UBP7_HUMAN-->MDM2_HUMAN",-25.6396801837614,-23.4938215314461
"MDM2_HUMAN-->UB2D2_HUMAN",-25.6396801837614,-23.4938215314461
"UB2D2_HUMAN-->CHIP_HUMAN",-25.6396801837614,-23.4938215314461
"MDM2_HUMAN-->UBP7_HUMAN",-25.6396801837614,-23.4938215314461
"UB2D2_HUMAN-->CBL_HUMAN",-25.6396801837614,-23.4938215314461
"CCND1_HUMAN-->RB_HUMAN",-25.6396801837614,-23.4938215314461
"CDK4_HUMAN-->CCND1_HUMAN",-25.6396801837614,-23.4938215314461
"MDM2_HUMAN-->SUMO1_HUMAN",-25.6396801837614,-23.4938215314461
"SUMO1_HUMAN-->P53_HUMAN",-25.6396801837614,-23.4938215314461
"EP300_HUMAN-->SP1_HUMAN",-25.6396801837614,-23.4938215314461
"SP1_HUMAN-->HDAC1_HUMAN",-25.6396801837614,-23.4938215314461
"EP300_HUMAN-->G4XH65_HUMAN",-25.6396801837614,-23.4938215314461
"G4XH65_HUMAN-->SRC_HUMAN",-25.6396801837614,-23.4938215314461
