"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"EGF_HUMAN-->EGFR_HUMAN",-122.596467832095,-46.057628912774,-28.8905419046187,18.6740472293163,20.2078024127878,-14.4611514398988,13.1956918691636,-2.81351099869915,-4.05440473115215,-15.3870211019753
"EGF_HUMAN-->S10A4_HUMAN",-122.596467832095,-46.057628912774,-28.8905419046187,18.6740472293163,20.2078024127878,-14.4611514398988,13.1956918691636,-2.81351099869915,-4.05440473115215,-15.3870211019753
"S10A4_HUMAN-->MYH9_HUMAN",-122.596467832095,-46.057628912774,-28.8905419046187,18.6740472293163,20.2078024127878,-14.4611514398988,13.1956918691636,-2.81351099869915,-4.05440473115215,-15.3870211019753
"K7PPA8_HUMAN-->MDM2_HUMAN",-122.596467832095,-46.057628912774,-28.8905419046187,18.6740472293163,20.2078024127878,-14.4611514398988,13.1956918691636,-2.81351099869915,-4.05440473115215,-15.3870211019753
"MDM2_HUMAN-->P53_HUMAN",-122.596467832095,-46.057628912774,-28.8905419046187,18.6740472293163,20.2078024127878,-14.4611514398988,13.1956918691636,-2.81351099869915,-4.05440473115215,-15.3870211019753
"S10A4_HUMAN-->K7PPA8_HUMAN",-122.596467832095,-46.057628912774,-28.8905419046187,18.6740472293163,20.2078024127878,-14.4611514398988,13.1956918691636,-2.81351099869915,-4.05440473115215,-15.3870211019753
"K7PPA8_HUMAN-->SIR1_HUMAN",-122.596467832095,-46.057628912774,-28.8905419046187,18.6740472293163,20.2078024127878,-14.4611514398988,13.1956918691636,-2.81351099869915,-4.05440473115215,-15.3870211019753
"MDM2_HUMAN-->MDM4_HUMAN",-122.596467832095,-46.057628912774,-28.8905419046187,18.6740472293163,20.2078024127878,-14.4611514398988,13.1956918691636,-2.81351099869915,-4.05440473115215,-15.3870211019753
"MDM4_HUMAN-->P53_HUMAN",-122.596467832095,-46.057628912774,-28.8905419046187,18.6740472293163,20.2078024127878,-14.4611514398988,13.1956918691636,-2.81351099869915,-4.05440473115215,-15.3870211019753
"CD2A2_HUMAN-->CDK4_HUMAN",-122.596467832095,-46.057628912774,-28.8905419046187,18.6740472293163,20.2078024127878,-14.4611514398988,13.1956918691636,-2.81351099869915,-4.05440473115215,-15.3870211019753
"CDK4_HUMAN-->RB_HUMAN",-122.596467832095,-46.057628912774,-28.8905419046187,18.6740472293163,20.2078024127878,-14.4611514398988,13.1956918691636,-2.81351099869915,-4.05440473115215,-15.3870211019753
"MDM2_HUMAN-->CD2A2_HUMAN",-122.596467832095,-46.057628912774,-28.8905419046187,18.6740472293163,20.2078024127878,-14.4611514398988,13.1956918691636,-2.81351099869915,-4.05440473115215,-15.3870211019753
"EP300_HUMAN-->P53_HUMAN",-122.596467832095,-46.057628912774,-28.8905419046187,18.6740472293163,20.2078024127878,-14.4611514398988,13.1956918691636,-2.81351099869915,-4.05440473115215,-15.3870211019753
"K7PPA8_HUMAN-->EP300_HUMAN",-122.596467832095,-46.057628912774,-28.8905419046187,18.6740472293163,20.2078024127878,-14.4611514398988,13.1956918691636,-2.81351099869915,-4.05440473115215,-15.3870211019753
"K7PPA8_HUMAN-->UBP7_HUMAN",-122.596467832095,-46.057628912774,-28.8905419046187,18.6740472293163,20.2078024127878,-14.4611514398988,13.1956918691636,-2.81351099869915,-4.05440473115215,-15.3870211019753
"UBP7_HUMAN-->P53_HUMAN",-122.596467832095,-46.057628912774,-28.8905419046187,18.6740472293163,20.2078024127878,-14.4611514398988,13.1956918691636,-2.81351099869915,-4.05440473115215,-15.3870211019753
"K7PPA8_HUMAN-->MDM4_HUMAN",-122.596467832095,-46.057628912774,-28.8905419046187,18.6740472293163,20.2078024127878,-14.4611514398988,13.1956918691636,-2.81351099869915,-4.05440473115215,-15.3870211019753
"MDM4_HUMAN-->MDM2_HUMAN",-122.596467832095,-46.057628912774,-28.8905419046187,18.6740472293163,20.2078024127878,-14.4611514398988,13.1956918691636,-2.81351099869915,-4.05440473115215,-15.3870211019753
"MDM2_HUMAN-->RB_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"UBP7_HUMAN-->MDM2_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"MDM2_HUMAN-->UB2D2_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"UB2D2_HUMAN-->CHIP_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"MDM2_HUMAN-->UBP7_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"UB2D2_HUMAN-->CBL_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"CCND1_HUMAN-->RB_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"CDK4_HUMAN-->CCND1_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"MDM2_HUMAN-->SUMO1_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"SUMO1_HUMAN-->P53_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"EP300_HUMAN-->SP1_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"SP1_HUMAN-->HDAC1_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"EP300_HUMAN-->G4XH65_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"G4XH65_HUMAN-->SRC_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"SRC_HUMAN-->FAK1_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"SRC_HUMAN-->HNRPK_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"S10A4_HUMAN-->MDM2_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"S10A4_HUMAN-->P53_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"EP300_HUMAN-->JUN_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"EP300_HUMAN-->HIF1A_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"HIF1A_HUMAN-->HS90A_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"BRCA1_HUMAN-->BARD1_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"G4XH65_HUMAN-->BRCA1_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"SRC_HUMAN-->SHC1_HUMAN",-124.310471839749,-41.9466924449141,-28.9174284763151,12.5289782834879,17.3417642667798,-6.4458647587777,8.12558076595445,-6.37347472220692,-4.96091026298727,-1.24551676263162
"G4XH65_HUMAN-->HS90A_HUMAN",-127.159170336122,-34.1244089740634,-27.9589662918636,1.47694398718421,11.3396416277479,6.31890551519079,-0.307200478135774,-9.20455285833678,-4.01650129855221,12.6975844613341
"SRC_HUMAN-->KHDR1_HUMAN",-127.159170336122,-34.1244089740634,-27.9589662918636,1.47694398718421,11.3396416277479,6.31890551519079,-0.307200478135774,-9.20455285833678,-4.01650129855221,12.6975844613341
"SUMO1_HUMAN-->PIAS1_HUMAN",-127.159170336122,-34.1244089740634,-27.9589662918636,1.47694398718421,11.3396416277479,6.31890551519079,-0.307200478135774,-9.20455285833678,-4.01650129855221,12.6975844613341
