"","V1","V2","V3"
"EGF_HUMAN-->EGFR_HUMAN",-126.262421335942,-37.3078738837844,42.4369105212123
"EGF_HUMAN-->S10A4_HUMAN",-126.262421335942,-37.3078738837844,42.4369105212123
"S10A4_HUMAN-->MYH9_HUMAN",-126.262421335942,-37.3078738837844,42.4369105212123
"K7PPA8_HUMAN-->MDM2_HUMAN",-126.262421335942,-37.3078738837844,42.4369105212123
"MDM2_HUMAN-->P53_HUMAN",-126.262421335942,-37.3078738837844,42.4369105212123
"S10A4_HUMAN-->K7PPA8_HUMAN",-126.262421335942,-37.3078738837844,42.4369105212123
"K7PPA8_HUMAN-->SIR1_HUMAN",-126.262421335942,-37.3078738837844,42.4369105212123
"MDM2_HUMAN-->MDM4_HUMAN",-126.262421335942,-37.3078738837844,42.4369105212123
"MDM4_HUMAN-->P53_HUMAN",-126.262421335942,-37.3078738837844,42.4369105212123
"CD2A2_HUMAN-->CDK4_HUMAN",-126.262421335942,-37.3078738837844,42.4369105212123
"CDK4_HUMAN-->RB_HUMAN",-126.262421335942,-37.3078738837844,42.4369105212123
"MDM2_HUMAN-->CD2A2_HUMAN",-126.262421335942,-37.3078738837844,42.4369105212123
"EP300_HUMAN-->P53_HUMAN",-126.262421335942,-37.3078738837844,42.4369105212123
"K7PPA8_HUMAN-->EP300_HUMAN",-126.262421335942,-37.3078738837844,42.4369105212123
"K7PPA8_HUMAN-->UBP7_HUMAN",-126.262421335942,-37.3078738837844,42.4369105212123
"UBP7_HUMAN-->P53_HUMAN",-126.262421335942,-37.3078738837844,42.4369105212123
"K7PPA8_HUMAN-->MDM4_HUMAN",-126.262421335942,-37.3078738837844,42.4369105212123
"MDM4_HUMAN-->MDM2_HUMAN",-126.262421335942,-37.3078738837844,42.4369105212123
"MDM2_HUMAN-->RB_HUMAN",-125.178346647443,-33.8877536064809,33.5363183648712
"UBP7_HUMAN-->MDM2_HUMAN",-125.178346647443,-33.8877536064809,33.5363183648712
"MDM2_HUMAN-->UB2D2_HUMAN",-125.178346647443,-33.8877536064809,33.5363183648712
"UB2D2_HUMAN-->CHIP_HUMAN",-125.178346647443,-33.8877536064809,33.5363183648712
"MDM2_HUMAN-->UBP7_HUMAN",-125.178346647443,-33.8877536064809,33.5363183648712
"UB2D2_HUMAN-->CBL_HUMAN",-125.178346647443,-33.8877536064809,33.5363183648712
"CCND1_HUMAN-->RB_HUMAN",-125.178346647443,-33.8877536064809,33.5363183648712
"CDK4_HUMAN-->CCND1_HUMAN",-125.178346647443,-33.8877536064809,33.5363183648712
"MDM2_HUMAN-->SUMO1_HUMAN",-125.178346647443,-33.8877536064809,33.5363183648712
"SUMO1_HUMAN-->P53_HUMAN",-125.178346647443,-33.8877536064809,33.5363183648712
"EP300_HUMAN-->SP1_HUMAN",-125.178346647443,-33.8877536064809,33.5363183648712
"SP1_HUMAN-->HDAC1_HUMAN",-125.178346647443,-33.8877536064809,33.5363183648712
"EP300_HUMAN-->G4XH65_HUMAN",-125.178346647443,-33.8877536064809,33.5363183648712
"G4XH65_HUMAN-->SRC_HUMAN",-125.178346647443,-33.8877536064809,33.5363183648712
