Algorithm,Combos,k,m (CV best),Prop. deviance explained
PathLinker,5,2,20,0.9999
PathLinker,5,3,20,1.0
PathLinker,5,4,20,1.0
PathLinker,5,5,20,
PathLinker,5,10,20,
PathLinker,10,2,20,0.9923
PathLinker,10,3,20,0.9983
PathLinker,10,4,20,0.9992
PathLinker,10,5,20,1.0
PathLinker,10,10,20,
PathLinker,25,2,20,0.9688
PathLinker,25,3,20,0.9874
PathLinker,25,4,20,0.9934
PathLinker,25,5,20,0.9967
PathLinker,25,10,20,0.9993
PathLinker,50,2,20,0.9613
PathLinker,50,3,20,0.9785
PathLinker,50,4,20,0.9867
PathLinker,50,5,20,0.9914
PathLinker,50,10,20,0.9984
OI1,5,2,17,0.877
OI1,5,3,17,0.9867
OI1,5,4,17,0.9923
OI1,5,5,17,
OI1,5,10,17,
OI1,10,2,7,0.7845
OI1,10,3,7,0.8909
OI1,10,4,7,0.946
OI1,10,5,7,0.9742
OI1,10,10,7,
OI1,25,2,6,0.7777
OI1,25,3,6,0.86
OI1,25,4,6,0.9068
OI1,25,5,6,0.9345
OI1,25,10,6,0.9861
OI1,54,2,6,0.7476
OI1,54,3,6,0.8323
OI1,54,4,6,0.8723
OI1,54,5,6,0.8984
OI1,54,10,6,0.9578
OI2,5,2,13,0.9702
OI2,5,3,13,0.9949
OI2,5,4,13,0.9989
OI2,5,5,13,1.0
OI2,5,10,13,
OI2,10,2,14,0.9245
OI2,10,3,14,0.9802
OI2,10,4,14,0.9919
OI2,10,5,14,0.9964
OI2,10,10,14,
OI2,25,2,13,0.8831
OI2,25,3,13,0.9412
OI2,25,4,13,0.9643
OI2,25,5,13,0.9807
OI2,25,10,13,0.997
OI2,50,2,13,0.8972
OI2,50,3,13,0.9542
OI2,50,4,13,0.9746
OI2,50,5,13,0.9836
OI2,50,10,13,0.9958
