"","handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-corporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
"republican",0,1,0,1,1,1,0,0,0,1,NA,1,1,1,0,1
"republican",0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,NA
"democrat",NA,1,1,NA,1,1,0,0,0,0,1,0,1,1,0,0
"democrat",0,1,1,0,NA,1,0,0,0,0,1,0,1,0,0,1
"democrat",1,1,1,0,1,1,0,0,0,0,1,NA,1,1,1,1
"democrat",0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1
"democrat",0,1,0,1,1,1,0,0,0,0,0,0,NA,1,1,1
"republican",0,1,0,1,1,1,0,0,0,0,0,0,1,1,NA,1
"republican",0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
"democrat",1,1,1,0,0,0,1,1,1,0,0,0,0,0,NA,NA
"republican",0,1,0,1,1,0,0,0,0,0,NA,NA,1,1,0,0
"republican",0,1,0,1,1,1,0,0,0,0,1,NA,1,1,NA,NA
"democrat",0,1,1,0,0,0,1,1,1,0,0,0,1,0,NA,NA
"democrat",1,1,1,0,0,1,1,1,NA,1,1,NA,0,0,1,NA
"republican",0,1,0,1,1,1,0,0,0,0,0,1,NA,NA,0,NA
"republican",0,1,0,1,1,1,0,0,0,1,0,1,1,NA,0,NA
"democrat",1,0,1,0,0,1,0,1,NA,1,1,1,NA,0,0,1
"democrat",1,NA,1,0,0,0,1,1,1,0,0,0,1,0,1,1
"republican",0,1,0,1,1,1,0,0,0,0,0,NA,1,1,0,0
"democrat",1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
"democrat",1,1,1,0,0,NA,1,1,0,0,1,0,0,0,1,1
"democrat",1,1,1,0,0,0,1,1,1,0,0,0,NA,NA,1,1
"democrat",1,NA,1,0,0,0,1,1,1,0,0,NA,0,0,1,1
"democrat",1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
"democrat",1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,NA
"democrat",1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
"democrat",1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
"democrat",1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
"republican",1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1
"democrat",1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
"republican",0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
