Algorithm,Combinations,Matrix rows (edges),Matrix cols (runs),Best m,Sparsity (% zeros)
PathLinker,5,103,5,20,41.17
PathLinker,10,111,10,20,40.81
PathLinker,25,266,25,20,34.65
PathLinker,50,366,50,20,32.75
OI1,5,958,5,17,35.18
OI1,10,1035,10,7,37.02
OI1,25,1120,25,6,41.88
OI1,54,1238,54,6,49.18
OI2,5,749,5,13,16.48
OI2,10,777,10,14,23.4
OI2,25,789,25,13,27.57
OI2,50,775,50,13,28.26
PathLinker,supplement (17),997,17,19,72.71
OI1,supplement (18),1599,18,7,55.66
OI2,supplement (24),1642,24,7,74.04
